User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U19001,25,Male,Professional,Android,5.3,1.4,8,7.6,8,8,0,4.8
U19002,50,Male,Freelancer,iOS,2.6,2.5,1,8.6,4,33,4,11.2
U19003,52,Male,Business Owner,iOS,4.6,6.2,1,6.2,3,47,4,9.8
U19004,47,Other,Professional,Android,2.0,5.2,8,8.6,8,40,5,12.3
U19005,50,Male,Business Owner,iOS,10.0,0.6,8,8.3,7,25,4,6.3
U19006,25,Other,Professional,Android,1.9,5.9,3,6.5,10,14,2,3.5
U19007,48,Male,Student,iOS,1.6,5.7,9,5.5,10,10,1,3.3
U19008,60,Other,Business Owner,Android,8.4,8.0,10,6.9,5,40,0,7.5
U19009,57,Female,Professional,iOS,7.3,3.6,1,5.9,10,8,6,7.6
U19010,35,Male,Business Owner,Android,3.7,5.2,10,5.8,5,53,3,2.5
U19011,23,Female,Professional,Android,3.2,4.8,4,7.2,1,45,3,10.1
U19012,40,Female,Professional,iOS,1.5,2.7,3,4.1,4,13,4,10.7
U19013,23,Other,Student,iOS,4.1,3.6,7,7.2,6,27,4,2.7
U19014,40,Male,Student,Android,6.5,5.3,2,4.5,3,7,2,7.6
U19015,29,Female,Business Owner,iOS,4.7,7.7,3,8.6,2,24,1,3.5
U19016,42,Male,Professional,iOS,1.0,5.4,3,5.5,6,22,0,9.9
U19017,30,Male,Business Owner,Android,1.1,3.0,7,7.9,9,33,0,2.3
U19018,52,Male,Business Owner,Android,7.6,2.8,1,7.4,9,59,3,6.1
U19019,34,Male,Freelancer,Android,7.5,7.2,10,6.0,3,42,4,13.3
U19020,19,Female,Professional,Android,10.4,3.9,7,7.9,3,17,4,9.2
U19021,57,Other,Freelancer,iOS,1.8,3.7,10,6.8,10,21,3,4.8
U19022,23,Other,Freelancer,Android,10.0,4.4,5,4.4,6,37,0,3.0
U19023,22,Other,Professional,Android,9.8,6.5,5,4.2,6,60,5,11.9
U19024,28,Female,Freelancer,iOS,7.4,4.7,4,5.9,2,15,2,7.0
U19025,27,Male,Business Owner,iOS,3.8,6.3,1,6.9,9,5,3,7.0
U19026,39,Other,Freelancer,iOS,2.8,5.0,4,5.9,1,14,5,3.3
U19027,28,Other,Student,iOS,1.4,2.3,5,7.9,3,57,0,5.3
U19028,51,Male,Business Owner,iOS,11.6,6.0,4,7.2,10,48,1,7.1
